title,price,location,bedrooms,bathrooms,toilets,size
3 bedroom detached bungalow for sale,"65,000,000","Ile Tuntun Nihort Area, Behind Dss Private Estate, Ibadan, Oyo",3.0,3.0,3.0,600 sqm covered area
3 bedroom block of flats for sale,"120,000,000","Harmony Estate Gbopa, Ologuneru, Ibadan, Oyo",3.0,3.0,3.0,600 sqm covered area
4 bedroom detached duplex for sale,"120,000,000","Iyana Olopa, Akobo, Ibadan, Oyo",4.0,4.0,4.0,600 sqm covered area
4 bedroom detached duplex for sale,"280,000,000","New Bodija, Ibadan, Oyo",4.0,4.0,4.0,600 sqm covered area
3 bedroom detached duplex for sale,"75,000,000","West Park & Garden , Opposite Coca-cola Factory Asejire, Egbeda Lga, Ibadan, Oyo",3.0,3.0,3.0,600 sqm covered area
Block of flats for sale,"55,000,000","Lam Adesina Street, Felele, Challenge, Ibadan, Oyo",,,,600 sqm covered area
5 bedroom detached duplex for sale,"280,000,000","Kolapo Ishola Gra, Akobo, Ibadan, Oyo",5.0,5.0,5.0,600 sqm covered area
4 bedroom detached duplex for sale,"280,000,000","Salami Estate New Bodija, Ibadan, Oyo",4.0,4.0,4.0,600 sqm covered area
4 bedroom block of flats for sale,"100,000,000","Opposite Nnpc Filling Station, Ajadi Junction, Along Ologuneru, Ibadan, Oyo",4.0,4.0,4.0,600 sqm covered area
5 bedroom detached duplex for sale,"200,000,000","Ikolaba Estate Near Agodi Gra, Agodi, Ibadan, Oyo",5.0,5.0,5.0,600 sqm covered area
Block of flats for sale,"80,000,000","Olunde Scheme Academy Off Lagos Ibadan Express Way, Ibadan, Oyo",,,,600 sqm covered area
4 bedroom detached duplex for sale,"230,000,000","Carlton Gate Estate, Akobo, Ibadan, Oyo",4.0,4.0,4.0,600 sqm covered area
5 bedroom detached duplex for sale,"150,000,000","Adetokun Street After Bitemore Restaurant ,ologuneru, Ibadan, Oyo",5.0,5.0,5.0,"1,200 sqm covered area"
4 bedroom semi-detached duplex for sale,"160,000,000","Greenland Estate Gra, Jericho, Ibadan, Oyo",4.0,4.0,4.0,"1,200 sqm covered area"
4 bedroom terraced duplex for sale,"150,000,000","Iyaganku Gra, Ibadan, Oyo",4.0,4.0,4.0,"1,200 sqm covered area"
4 bedroom detached bungalow for sale,"600,000,000","Kobiowu Crescent, Iyaganku Gra, Ibadan, Oyo",4.0,4.0,4.0,"1,200 sqm covered area"
5 bedroom semi-detached duplex for sale,"200,000,000","Adebajo Street, Kongi, New Bodija, Ibadan, Oyo",5.0,5.0,5.0,"1,000 sqm covered area"
Block of flats for sale,"15,000,000","Peace Estate, Akobo, Ibadan, Oyo",,,,"1,000 sqm covered area"
Block of flats for sale,"65,000,000","Akoto Estate, Elebu, Ibadan, Oyo",,,,"1,000 sqm covered area"
3 bedroom detached bungalow for sale,"80,000,008","Bashorun Housing Estate, Ibadan, Oyo",3.0,4.0,4.0,"1,000 sqm covered area"
4 bedroom detached duplex for sale,"130,000,000","Temidire Estate Ologuneru Off Eleyele, Ibadan, Oyo",4.0,5.0,5.0,"1,000 sqm covered area"
4 bedroom semi-detached duplex for sale,"250,000,000","Eng. Lere Adigun Gra, Beside Bcos, Bashorun, Ibadan, Oyo",4.0,4.0,5.0,"1,000 sqm covered area"
4 bedroom semi-detached duplex for sale,"270,000,000","New Bodija, Ibadan, Oyo",4.0,5.0,5.0,"1,000 sqm covered area"
4 bedroom semi-detached duplex for sale,"70,000,000","City Park And Garden Estate Asejire Opposite Coca Cola Depot, Asejire, Ibadan, Oyo",4.0,5.0,5.0,"1,000 sqm covered area"
Block of flats for sale,"75,000,000","Akobo, Ibadan, Oyo",,,,"1,000 sqm covered area"
5 bedroom detached duplex for sale,"180,000,000","Olive Court Estate, Agodi Gra., Ibadan, Oyo",5.0,6.0,6.0,"1,000 sqm covered area"
Block of flats for sale,"45,000,000","Success Estate, Olorunda, Akobo, Ibadan, Oyo",,,,"1,000 sqm covered area"
4 bedroom detached duplex for sale,"180,000,000","Idi Ishin, Jericho, Ibadan, Oyo",4.0,,,"1,000 sqm covered area"
4 bedroom detached duplex for sale,"250,000,000","Kolapo Ishola Gra, Akobo, Ibadan, Oyo",4.0,4.0,5.0,"1,000 sqm covered area"
Block of flats for sale,"150,000,000","Gra, Bashorun, Agodi, Ibadan, Oyo",,,,"1,000 sqm covered area"
Block of flats for sale,"85,000,000","Felele Main Road, Challenge, Ibadan, Oyo",,,,"1,000 sqm covered area"
Block of flats for sale,"30,000,000","Ibugbe Tutu, Adegbayi, Alakia, Ibadan, Oyo",,,,"1,000 sqm covered area"
3 bedroom detached duplex for sale,"110,000,000","Providence Estate, Eleyele, Ibadan, Oyo",3.0,3.0,4.0,502 sqm total area
3 bedroom terraced duplex for sale,"160,000,000","Loyola College Old Ofe Road Near Gate,, Ibadan, Oyo",3.0,3.0,3.0,650 sqm total area
3 bedroom block of flats for sale,"50,000,000","Olorunkemi Estate, Elebu, Ibadan, Oyo",3.0,3.0,3.0,650 sqm total area
4 bedroom detached duplex for sale,"210,000,000","Carlton Gate Estate, Gra, Akobo, Ibadan, Oyo",4.0,4.0,4.0,650 sqm total area
4 bedroom detached bungalow for sale,"200,000,000","Main Alalubosa Gra, Ibadan, Oyo",4.0,4.0,4.0,650 sqm total area
3 bedroom block of flats for sale,"75,000,000","Taiwo Olobi, Powerline Moniya Express,, Ibadan, Oyo",3.0,2.0,2.0,650 sqm total area
4 bedroom detached duplex for sale,"300,000,000","Lere Adigun Gra Basorun, Ibadan, Oyo",4.0,4.0,4.0,650 sqm total area
5 bedroom detached duplex for sale,"430,000,000","Kolapo Ishola Gated Estate, Akobo, Ibadan, Oyo",5.0,5.0,5.0,650 sqm total area
5 bedroom detached duplex for sale,"185,000,000","Airforce Estate Akobo, Ibadan, Oyo",5.0,5.0,5.0,650 sqm total area
3 bedroom semi-detached bungalow for sale,"16,000,000","Aseyori Estate, Off Ayegun Oleyo Road, Akala Exp, Ibadan, Oyo",3.0,3.0,3.0,552 sqm total area
12 bedroom block of flats for sale,"60,000,000","Old-ife Road, Ibadan, Oyo",12.0,6.0,6.0,552 sqm total area
6 bedroom semi-detached duplex for sale,"120,000,000","Bashorun Housing Estate, Akobo, Ibadan, Oyo",6.0,,,552 sqm total area
4 bedroom detached duplex for sale,"250,000,000","S&t (military) Estate, Jericho Gra, Ibadan, Oyo",4.0,4.0,4.0,552 sqm total area
6 bedroom detached duplex for sale,"150,000,000","Akobo, Ibadan, Oyo",6.0,6.0,6.0,552 sqm total area
4 bedroom semi-detached duplex for sale,"165,000,000","Lere Adigun Gra, New Bodija, Ibadan, Oyo",4.0,,,552 sqm total area
4 bedroom detached duplex for sale,"100,000,000","Bola Akogi Area, Jankata , Off Akala Express, Ibadan, Oyo",4.0,4.0,4.0,552 sqm total area
4 bedroom detached duplex for sale,"160,000,000","Kolapo Ishola Gra, Akobo, Ibadan, Oyo",4.0,,,552 sqm total area
5 bedroom detached duplex for sale,"280,000,000","Kolapo Ishola Gra, Akobo, Ibadan, Oyo",5.0,,,552 sqm total area
4 bedroom detached duplex for sale,"230,000,000","Onireke Gra, Ibadan, Oyo",4.0,4.0,5.0,552 sqm total area
4 bedroom detached duplex for sale,"230,000,000","Akobo, Ibadan, Oyo",4.0,5.0,5.0,552 sqm total area
Block of flats for sale,"320,000,000","Along Omolayo Road 9/oke'badan Estate, Akobo, Ibadan, Oyo",,,,"2,179 sqm total area"
4 bedroom terraced duplex for sale,"180,000,000","Kolapo Ishola Gra, Akobo, Ibadan, Oyo",4.0,4.0,5.0,"2,179 sqm total area"
4 bedroom terraced duplex for sale,"160,000,000","Bashorun Housing Estates, Ibadan, Oyo",4.0,4.0,4.0,"2,179 sqm total area"
5 bedroom detached duplex for sale,"230,000,000","Carlton Gate Estate, Ibadan, Oyo",5.0,6.0,6.0,"2,179 sqm total area"
2 bedroom detached bungalow for sale,"28,000,000","All. Saints College, Agbofieti, Ologuneru, Ibadan, Oyo",2.0,,,"2,179 sqm total area"
5 bedroom detached bungalow for sale,"10,000,000","N. O Idowu, Olorundaba, Akobo, Ibadan, Oyo",5.0,,,"2,179 sqm total area"
Block of flats for sale,"22,000,000","Ajobo, Arulogun Road, Ojoo, Ibadan, Oyo",,,,"2,179 sqm total area"
4 bedroom detached duplex for sale,"135,000,000","Alafia Estate, Omolayo, Akobo, Ibadan, Oyo",4.0,,5.0,"2,179 sqm total area"
5 bedroom detached duplex for sale,"500,000,000","Behind Jericho Mall Onireke Gra, Ibadan, Oyo",5.0,5.0,5.0,"1,580 sqm covered area"
5 bedroom detached duplex for sale,"250,000,000","Jericho Gra, Ibadan, Oyo",5.0,5.0,6.0,"1,580 sqm covered area"
5 bedroom detached duplex for sale,"250,000,000","Jericho Gra, Ibadan, Oyo",5.0,5.0,6.0,"1,580 sqm covered area"
5 bedroom semi-detached duplex for sale,"210,000,000","Carlton Gate Estate, Ibadan, Oyo",5.0,6.0,6.0,"1,580 sqm covered area"
4 bedroom detached duplex for sale,"100,000,000","Cedars Street, Oke'badan Estate, Akobo, Ibadan, Oyo",4.0,,,"1,580 sqm covered area"
Block of flats for sale,"100,000,000","Opposite Poly, Eleyele, Ibadan, Oyo",,,,"1,580 sqm covered area"
5 bedroom terraced duplex for sale,"75,000,000","Winners Way, Bashorun, Akobo, Ibadan, Oyo",5.0,,,"1,580 sqm covered area"
3 bedroom detached bungalow for sale,"90,000,000","Olunde, Ologuneru, Ibadan, Oyo",3.0,2.0,3.0,"1,580 sqm covered area"
Block of flats for sale,"130,000,000","Olubadan Estate, Alakia, Ibadan, Oyo",,,,"1,580 sqm covered area"
5 bedroom detached duplex for sale,"130,000,000","New Bodija, Ibadan, Oyo",5.0,5.0,,"1,580 sqm covered area"
3 bedroom block of flats for sale,"45,000,000","Oremeji-alakia Airport Road, Ibadan, Oyo",3.0,3.0,3.0,"1,580 sqm covered area"
2 bedroom block of flats for sale,"70,000,000","Zionist Estate, Akala Express Oluyole Extension, Ibadan, Oyo",2.0,2.0,2.0,"1,580 sqm covered area"
4 bedroom detached duplex for sale,"152,000,000","Carlton Gate Estate, Akobo, Ibadan, Oyo",4.0,4.0,4.0,"1,580 sqm covered area"
4 bedroom detached duplex for sale,"135,000,000","Alpha Grace Estate, Jericho, Ibadan, Oyo",4.0,,,"1,580 sqm covered area"
4 bedroom block of flats for sale,"120,000,000","Bashorun Housing Estate,opposite Kolapo Ishola Gra, Akobo, Ibadan, Oyo",4.0,4.0,4.0,"1,580 sqm covered area"
6 bedroom detached duplex for sale,"120,000,000","Adenuga Street, Kongi Layout, Bodija, Ibadan, Oyo",6.0,6.0,6.0,"1,580 sqm covered area"
5 bedroom detached duplex for sale,"165,000,000","Carlton Gate Estate, Akobo, Ibadan, Oyo",5.0,5.0,5.0,"1,580 sqm covered area"
4 bedroom detached duplex for sale,"450,000,000","Kolapo Ishola Gra, Akobo, Ibadan, Oyo",4.0,4.0,4.0,"1,000 sqm covered area"
3 bedroom block of flats for sale,"70,000,000","Off Adeoyo Fodacis Area, Ibadan, Oyo",3.0,3.0,3.0,"1,200 sqm covered area"
4 bedroom detached bungalow for sale,"60,000,000","A3 Estate,, Akobo, Ibadan, Oyo",4.0,,,"1,200 sqm covered area"
4 bedroom detached duplex for sale,"160,000,000","Aare, Oluyole Estate, Ibadan, Oyo",4.0,4.0,4.0,"1,200 sqm covered area"
Block of flats for sale,"55,000,000","Iyana Adeoyo, Off Ring Road, Challenge, Ibadan, Oyo",,,,"1,200 sqm covered area"
4 bedroom detached duplex for sale,"200,000,000","Ikolaba Estate Near Agodi Gra, Ibadan, Oyo",4.0,4.0,4.0,"1,200 sqm covered area"
4 bedroom terraced duplex for sale,"230,000,000","Bobby Olofa, Akala Way, Okebadan Estate, Akobo, Ibadan, Oyo",4.0,,,"1,200 sqm covered area"
3 bedroom detached bungalow for sale,"65,000,000","Gospel Road, Ojoo Barrack, Ibadan, Oyo",3.0,3.0,3.0,"1,200 sqm covered area"
2 bedroom block of flats for sale,"80,000,000","Off Icast Road Elebu Off Akala Express Oluyole Extension, Ibadan, Oyo",2.0,2.0,2.0,"1,200 sqm covered area"
4 bedroom detached duplex for sale,"80,000,000","Behind Dss Estate, Jericho, Ibadan, Oyo",4.0,4.0,4.0,"1,200 sqm covered area"
5 bedroom detached duplex for sale,"300,000,000","Kolapo Ishola Gra, Akobo, Ibadan, Oyo",5.0,5.0,5.0,"1,200 sqm covered area"
4 bedroom house for sale,"175,000,000","Kolapo Ishola Gra, Akobo, Ibadan, Oyo",4.0,4.0,4.0,"1,200 sqm covered area"
5 bedroom detached duplex for sale,"300,000,000","Engr Lere Adigun Gra, Bashorun, Ibadan, Oyo",5.0,5.0,5.0,"1,200 sqm covered area"
4 bedroom detached duplex for sale,"220,000,000","Ikolaba Estate, Agodi, Ibadan, Oyo",4.0,4.0,4.0,"1,200 sqm covered area"
5 bedroom detached duplex for sale,"155,000,000","Ire-akari Estate Akala Express, Ibadan, Oyo",5.0,5.0,5.0,"1,200 sqm covered area"
4 bedroom detached duplex for sale,"160,000,000","Golf Drive Onireke Gra, Ibadan, Oyo",4.0,4.0,4.0,"1,200 sqm covered area"
5 bedroom detached duplex for sale,"160,000,000","Ireakari Estate, Akala Express, Ibadan, Oyo",5.0,5.0,5.0,"1,200 sqm covered area"
4 bedroom detached duplex for sale,"165,000,000","Carlton Gate Estate, Akobo, Ibadan, Oyo",4.0,4.0,4.0,"1,200 sqm covered area"
4 bedroom detached duplex for sale,"200,000,000","Lere Adigun Gra, Bashorun, Ibadan, Oyo",4.0,4.0,4.0,"1,200 sqm covered area"
3 bedroom block of flats for sale,"250,000,000","Oke Adan Estate, Akobo, Ibadan, Oyo",3.0,3.0,3.0,"1,200 sqm covered area"
4 bedroom detached duplex for sale,"185,000,000","Zionist Estate, Off Akala Express, Ibadan, Oyo",4.0,4.0,4.0,600 sqm covered area
3 bedroom block of flats for sale,"100,000,000","Amuda Jonku Off General Gas, Akobo, Ibadan, Oyo",3.0,3.0,3.0,600 sqm covered area
4 bedroom detached duplex for sale,"165,000,000","Kolapo Ishola Gra, Ibadan, Oyo",4.0,4.0,4.0,600 sqm covered area
4 bedroom detached duplex for sale,"165,000,000","Olive Street Kolapo Gra, Akobo, Ibadan, Oyo",4.0,4.0,4.0,600 sqm covered area
2 bedroom block of flats for sale,"85,000,000","Basorun Housing Estate, Akobo, Ibadan, Oyo",2.0,3.0,3.0,600 sqm covered area
4 bedroom detached duplex for sale,"70,000,000","Nifort Gra, Awotan Apete, Ibadan, Oyo",4.0,4.0,4.0,600 sqm covered area
5 bedroom detached duplex for sale,"50,000,000","Sdp G.r.a, All Motors, Gbagi, Alakia, Ibadan, Oyo",5.0,,,600 sqm covered area
11 bedroom detached duplex for sale,"120,000,000","Ikolaba Estate, New Bodija, Ibadan, Oyo",11.0,,,600 sqm covered area
4 bedroom detached duplex for sale,"130,000,000","Olunde Scheme, Academy, Off Lagos-ibadan Expressway, Ibadan, Oyo",4.0,4.0,5.0,600 sqm covered area
3 bedroom detached duplex for sale,"57,000,000","Olunde Scheme, Academy, Off Lagos-ibadan Expressway, Ibadan, Oyo",3.0,3.0,4.0,600 sqm covered area
2 bedroom detached duplex for sale,"47,000,000","Olunde Scheme, Academy, Off Lagos-ibadan Expressway, Ibadan, Oyo",2.0,2.0,3.0,600 sqm covered area
3 bedroom detached bungalow for sale,"40,000,000","Olunde Scheme, Academy, Off Lagos-ibadan Expressway, Ibadan, Oyo",3.0,3.0,4.0,600 sqm covered area
4 bedroom detached bungalow for sale,"43,000,000","Olunde Scheme, Academy, Off Lagos-ibadan Expressway, Ibadan, Oyo",4.0,4.0,5.0,600 sqm covered area
Block of flats for sale,"75,000,000","Alegongo Main Estate, Akobo, Ibadan, Oyo",,,,600 sqm covered area
16 bedroom block of flats for sale,"30,000,000","Joyce B, Ring Road, Challenge, Ibadan, Oyo",16.0,,,600 sqm covered area
2 bedroom block of flats for sale,"80,000,000","Rotimi Williams Avenue, Bodija, Ibadan, Oyo",2.0,2.0,3.0,600 sqm covered area
18 bedroom block of flats for sale,"75,000,000","Molade, Iwo Road, Alakia, Ibadan, Oyo",18.0,,,600 sqm covered area
5 bedroom detached duplex for sale,"85,000,000","Adenuga, Kongi,, New Bodija, Ibadan, Oyo",5.0,,,600 sqm covered area
Block of flats for sale,"50,000,000","Akingbade, Gbagi Market, Alakia, Ibadan, Oyo",,,,600 sqm covered area
4 bedroom house for sale,"70,000,000","Elewuro, Akobo, Ibadan, Oyo",4.0,,,600 sqm covered area
3 bedroom block of flats for sale,"60,000,000","Iyana Ajia, Alakia, Ibadan, Oyo",3.0,,,600 sqm covered area
5 bedroom detached duplex for sale,"75,000,000","Akala Express, Ibadan, Oyo",5.0,,,600 sqm covered area
4 bedroom terraced duplex for sale,"120,000,000","Eng Lere Adigun, Gra, Ibadan, Oyo",4.0,,5.0,600 sqm covered area
3 bedroom detached bungalow for sale,"85,000,000","Goodwill Estate, Jericho Gra., Ibadan, Oyo",3.0,,,600 sqm covered area
4 bedroom semi-detached duplex for sale,"160,000,000","Okebadan Estate, Akobo, Ibadan, Oyo",4.0,,,600 sqm covered area
2 bedroom terraced duplex for sale,"110,000,000","Oba Adesida, Iyaganku, Ibadan, Oyo",2.0,,,600 sqm covered area
3 bedroom detached bungalow for sale,"47,500,000","Favour Estate, Ibadan, Oyo",3.0,3.0,3.0,600 sqm covered area
3 bedroom block of flats for sale,"200,000,000","Leyland, Iwo Road, Alakia, Ibadan, Oyo",3.0,,,600 sqm covered area
5 bedroom detached duplex for sale,"130,000,000","Omololu Olunloyo Gra, Ring Road, Challenge, Ibadan, Oyo",5.0,,,600 sqm covered area
4 bedroom detached duplex for sale,"220,000,000","Gra, Agodi, Ibadan, Oyo",4.0,4.0,4.0,600 sqm covered area
2 bedroom block of flats for sale,"70,000,000","Nifort Gra Awotan Apete, Ibadan, Oyo",2.0,2.0,2.0,600 sqm covered area
4 bedroom detached duplex for sale,"130,000,000","Ifelodun Estate, Arapaja, Oluyole Extension, Ibadan, Oyo",4.0,4.0,4.0,600 sqm covered area
5 bedroom terraced duplex for sale,"300,000,000","Gra, Agodi, Ibadan, Oyo",5.0,5.0,5.0,"2,200 sqm covered area"
4 bedroom terraced duplex for sale,"300,000,000","Agodi Gra, Agodi, Ibadan, Oyo",4.0,,,"2,200 sqm covered area"
3 bedroom block of flats for sale,"100,000,000","No 16 Alalubosa Gra, Aleshinloye Axis, Alalubosa, Ibadan, Oyo",3.0,3.0,3.0,"2,200 sqm covered area"
Block of flats for sale,"650,000,000","Onikoko Close, Gra, Agodi, Ibadan, Oyo",,,,"2,200 sqm covered area"
4 bedroom detached duplex for sale,"165,000,000","Calton Gate Estate, Akobo, Ibadan, Oyo",4.0,5.0,6.0,"2,200 sqm covered area"
2 bedroom block of flats for sale,"85,000,000","Along Idi Ishin Gbekuba Road, Ibadan, Oyo",2.0,2.0,2.0,"2,200 sqm covered area"
4 bedroom detached duplex for sale,"140,000,000","New Garage Bodija, Ibadan, Oyo",4.0,5.0,6.0,"2,200 sqm covered area"
3 bedroom detached bungalow for sale,"75,000,000","Basorun Housing Estate, Akobo, Ibadan, Oyo",3.0,3.0,3.0,400 sqm covered area
5 bedroom detached duplex for sale,"85,000,000","Facing Akala Way Main Road, Npg, Akobo, Ibadan, Oyo",5.0,,,400 sqm covered area
3 bedroom detached bungalow for sale,"55,000,000","Life Fort, Apete, Samonda, Ibadan, Oyo",3.0,,,400 sqm covered area
4 bedroom semi-detached duplex for sale,"75,000,000","Okebadan Estate, Akala Way, Akobo, Ibadan, Oyo",4.0,,,400 sqm covered area
