title,price,location,bedrooms,bathrooms,toilets,size_value,property_type,price_per_bedroom,price_per_size
Block of flats for sale,120000000.0,Old Ife Road,4.0,4.0,4.0,1,apartment,30000000.0,120000000.0
Block of flats for sale,55000000.0,Adegbayi,4.0,4.0,4.0,1,apartment,13750000.0,55000000.0
5 bedroom detached duplex for sale,180000000.0,Akala Express,5.0,5.0,5.0,1,duplex,36000000.0,180000000.0
3 bedroom house for sale,130000000.0,Akobo,3.0,3.0,3.0,1,other,43333333.333333336,130000000.0
3 bedroom detached bungalow for sale,26000000.0,Apata,3.0,3.0,3.0,1,bungalow,8666666.666666666,26000000.0
5 bedroom detached duplex for sale,300000000.0,Aerodrome Gra,5.0,5.0,6.0,1,duplex,60000000.0,300000000.0
3 bedroom detached bungalow for sale,99750000.0,Asejire,3.0,4.0,4.0,1,bungalow,33250000.0,99750000.0
4 bedroom detached bungalow for sale,50000000.0,Ire-akari,4.0,4.0,4.0,500,bungalow,12500000.0,100000.0
2 bedroom block of flats for sale,130000000.0,Oluyole Estate,2.0,2.0,2.0,500,apartment,65000000.0,260000.0
4 bedroom detached duplex for sale,340000000.0,Blue Gate Oluyole Estate,4.0,4.0,4.0,400,duplex,85000000.0,850000.0
3 bedroom detached bungalow for sale,8000000.0,Oluwo,3.0,3.0,3.0,400,bungalow,2666666.6666666665,20000.0
Block of flats for sale,25000000.0,Oluwo,4.0,4.0,4.0,400,apartment,6250000.0,62500.0
2 bedroom block of flats for sale,85000000.0,Alakia,2.0,2.0,2.0,400,apartment,42500000.0,212500.0
Block of flats for sale,38000000.0,Inu Ewe,4.0,4.0,4.0,400,apartment,9500000.0,95000.0
5 bedroom detached duplex for sale,200000000.0,New Bodija,5.0,5.0,5.0,400,duplex,40000000.0,500000.0
Block of flats for sale,25000000.0,Monatan,4.0,4.0,4.0,400,apartment,6250000.0,62500.0
4 bedroom detached bungalow for sale,40000000.0,Alakia,4.0,4.0,4.0,400,bungalow,10000000.0,100000.0
5 bedroom detached duplex for sale,70000000.0,Ojoo,5.0,5.0,5.0,400,duplex,14000000.0,175000.0
3 bedroom detached bungalow for sale,90000000.0,Elewuro,3.0,4.0,4.0,400,bungalow,30000000.0,225000.0
3 bedroom detached duplex for sale,180000000.0,Alalubosa Gra,3.0,4.0,4.0,400,duplex,60000000.0,450000.0
Block of flats for sale,60000000.0,Challenge,4.0,4.0,4.0,400,apartment,15000000.0,150000.0
Block of flats for sale,13000000.0,Iyana Agbala,4.0,4.0,4.0,400,apartment,3250000.0,32500.0
Block of flats for sale,75000000.0,Sdp,4.0,4.0,4.0,400,apartment,18750000.0,187500.0
4 bedroom terraced duplex for sale,220000000.0,Jericho,4.0,4.0,5.0,400,duplex,55000000.0,550000.0
3 bedroom detached bungalow for sale,160000000.0,Akobo,3.0,3.0,3.0,400,bungalow,53333333.333333336,400000.0
Block of flats for sale,80000000.0,Agbowo,4.0,4.0,4.0,400,apartment,20000000.0,200000.0
5 bedroom detached duplex for sale,200000000.0,Akobo,5.0,5.0,5.0,400,duplex,40000000.0,500000.0
Block of flats for sale,18000000.0,Old Ife Road,4.0,4.0,4.0,400,apartment,4500000.0,45000.0
Block of flats for sale,50000000.0,Akobo,4.0,4.0,4.0,400,apartment,12500000.0,125000.0
3 bedroom detached bungalow for sale,50000000.0,Alengongo,3.0,3.0,3.0,400,bungalow,16666666.666666666,125000.0
3 bedroom detached bungalow for sale,72000000.0,Ile Tuntun,3.0,3.0,3.0,400,bungalow,24000000.0,180000.0
6 bedroom detached duplex for sale,100000000.0,Akobo,6.0,6.0,6.0,400,duplex,16666666.666666666,250000.0
